epoch,accuracy,loss,val_accuracy,val_loss
0,0.9387500286102295,24.521207809448242,1.0,0.6936749219894409
1,0.996874988079071,0.6924464702606201,0.9925000071525574,0.6931024789810181
2,0.9950000047683716,0.6925786733627319,1.0,0.6941540241241455
3,0.9962499737739563,0.7376395463943481,1.0,0.6943533420562744
4,1.0,0.6929790377616882,1.0,0.6944003105163574
5,1.0,0.6929618120193481,1.0,0.6947547793388367
6,1.0,0.6929340958595276,1.0,0.6948211789131165
7,1.0,0.6929582357406616,1.0,0.6949674487113953
8,1.0,0.6929478645324707,1.0,0.695210874080658
9,1.0,0.6929123401641846,1.0,0.695050835609436
10,1.0,0.6929215788841248,1.0,0.6953026056289673
11,1.0,0.6929482221603394,1.0,0.6951172351837158
12,1.0,0.6929433345794678,1.0,0.6954012513160706
13,1.0,0.6929500102996826,1.0,0.6953319311141968
14,1.0,0.692949652671814,1.0,0.6953299045562744
15,1.0,0.6929501295089722,1.0,0.695487916469574
16,1.0,0.6929359436035156,1.0,0.6954191327095032
17,1.0,0.6929268836975098,1.0,0.6954681873321533
18,1.0,0.692952573299408,1.0,0.6956995129585266
19,1.0,0.6929264068603516,1.0,0.6953119039535522
20,1.0,0.692949652671814,1.0,0.6955310702323914
21,1.0,0.6929587721824646,1.0,0.6953310966491699
22,1.0,0.6929358839988708,1.0,0.695486843585968
23,1.0,0.6929357647895813,1.0,0.6954987049102783
24,1.0,0.6929247379302979,1.0,0.6954408884048462
25,1.0,0.6929315328598022,1.0,0.6953386664390564
26,1.0,0.6929424405097961,1.0,0.6955792903900146
27,1.0,0.6929356455802917,1.0,0.695252001285553
28,1.0,0.6929271817207336,1.0,0.6956323981285095
29,1.0,0.6929609179496765,1.0,0.6953634023666382
